Academic_Year,UDISE_Code,district_name & code,block_name & code,School_Name,PP3_B,PP3_G,PP3_T,PP2_B,PP2_G,PP2_T,PP1_B,PP1_G,PP1_T,C1B,C1G,C1T,C2B,C2G,C2T,C3B,C3G,C3T,C4B,C4G,C4T,C5B,C5G,C5T,C6B,C6G,C6T,C7B,C7G,C7T,C8B,C8G,C8T,C9B,C9G,C9T,C10B,C10G,C10T,C11B,C11G,C11T,C12B,C12G,C12T,Total
2024-25,28184902001,PRAKASAM (2818),ZARUGUMALLI (281849),"MPPS,ZARUGUMALLI (GEN)",0,0,0,0,0,0,3,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2024-25,28185090323,NELLORE (2819),KANDUKURU (281850),MPPS KOTAKATTA VEEDHI KANDUKUR,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,7,4,0,11,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2024-25,28185201502,PRAKASAM (2818),PAMURU (281852),MPPS02ND WARD,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,3,11,0,3,1,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2024-25,28185400701,NELLORE (2819),GUDLURU (281854),MPPS GUDLUR MAIN,0,0,0,0,0,0,0,0,0,8,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2024-25,28190300502,NELLORE (2819),KONDAPURAM (281903),MPPS BOILLAVARIPALEM,0,0,0,0,0,0,0,0,0,16,6,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2024-25,28190590203,NELLORE (2819),KAVALI (281905),MPL PS HARIJANAPALEM,0,0,0,0,0,0,4,1,0,10,13,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2024-25,28190600503,NELLORE (2819),BOGOLE (281906),MPPS KOVURUPALLE GC,0,0,0,0,0,0,0,0,0,7,6,0,4,6,0,3,5,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2024-25,28190900802,NELLORE (2819),DUTTALUR (281909),MPPS DUTTALUR CENTER,0,0,0,0,0,0,0,0,0,10,7,0,4,3,0,9,6,0,5,7,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2024-25,28191101009,NELLORE (2819),MARRIPADU (281911),MPPS MARRIPADU (HW),0,0,0,0,0,0,0,0,0,10,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2024-25,28191202001,NELLORE (2819),ATMAKUR (281912),MPPS ATMAKUR (WEST),0,0,0,0,0,0,0,0,0,17,18,0,11,16,0,15,22,0,12,13,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
2024-25,28191300901,NELLORE (2819),ANUMASAMUDRAMPET (281913),MPPS ANUMASAMUDRAMPET (HINDU),0,0,0,0,0,0,0,0,0,6,4,0,0,5,0,3,5,0,3,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2024-25,28191500616,NELLORE (2819),ALLUR (281915),MPUPS ALLUR,0,0,0,0,0,0,0,0,0,7,6,0,11,6,0,7,13,0,14,8,0,11,14,0,13,18,0,9,17,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,170
2024-25,28192000301,NELLORE (2819),CHEJERLA (281920),MPPS CHEJERLA MAIN,0,0,0,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2024-25,28192303110,NELLORE (2819),RAPUR (281923),MPPS RAPUR HINDU,0,0,0,3,5,0,7,5,0,6,5,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2024-25,28192402114,NELLORE (2819),PODALAKUR (281924),"MPPS RAMNAGAR, PODALAKUR",0,0,0,0,0,0,0,0,0,2,2,0,5,4,0,9,6,0,7,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2024-25,28192590448,NELLORE (2819),NELLORE URBAN (281947),MCUPS R N PET (URDU),0,0,0,0,0,0,0,0,0,8,5,0,6,4,0,5,10,0,11,11,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2024-25,28192590644,NELLORE (2819),NELLORE (281925),MCPS SPING MILL,0,0,0,2,1,0,1,4,0,17,6,0,8,11,0,7,4,0,13,13,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
2024-25,28192701213,NELLORE (2819),INDUKURPET (281927),MPP PS KOTHUR,0,0,0,0,0,0,0,0,0,3,4,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2024-25,28192901312,NELLORE (2819),MUTHUKUR (281929),MPUPS MUTHUKUR,0,0,0,0,0,0,0,0,0,7,6,0,5,2,0,7,8,0,8,1,0,2,5,0,11,20,0,23,11,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,144
